,0
0,0.271
1,0.307
2,0.413
3,0.28300000000000003
4,0.295
5,0.278
6,0.3
7,0.295
8,0.341
9,0.41200000000000003
10,0.3
11,0.311
12,0.35100000000000003
13,0.376
14,0.384
15,0.484
16,0.583
17,0.504
18,0.516
19,0.519
20,0.521
21,0.498
22,0.517
23,0.573
24,0.465
25,0.461
26,0.44
27,0.465
28,0.447
29,0.47200000000000003
30,0.546
31,0.473
32,0.44
33,0.41600000000000004
34,0.415
35,0.506
36,0.46399999999999997
37,0.531
38,0.457
39,0.434
40,0.439
41,0.4
42,0.401
43,0.43700000000000006
44,0.531
45,0.441
46,0.524
47,0.42
48,0.43799999999999994
49,0.406
50,0.43200000000000005
51,0.516
52,0.434
53,0.41600000000000004
54,0.408
55,0.396
56,0.461
57,0.39799999999999996
58,0.46299999999999997
59,0.41600000000000004
60,0.408
61,0.41700000000000004
62,0.41700000000000004
63,0.386
64,0.424
65,0.47600000000000003
66,0.426
67,0.429
68,0.434
69,0.42
70,0.40399999999999997
71,0.433
72,0.51
73,0.419
74,0.43700000000000006
75,0.42
76,0.447
77,0.406
78,0.43
79,0.505
80,0.452
81,0.457
82,0.431
83,0.418
84,0.392
85,0.43
86,0.501
87,0.41100000000000003
88,0.39899999999999997
89,0.395
90,0.402
91,0.39399999999999996
92,0.402
93,0.48200000000000004
94,0.38
95,0.38799999999999996
96,0.397
97,0.444
98,0.359
99,0.392
100,0.47200000000000003
101,0.387
102,0.397
103,0.385
104,0.39799999999999996
105,0.33799999999999997
106,0.385
107,0.473
108,0.385
109,0.369
110,0.40299999999999997
111,0.39899999999999997
112,0.379
113,0.41700000000000004
114,0.483
115,0.40399999999999997
116,0.39899999999999997
117,0.39399999999999996
118,0.41
119,0.385
120,0.42
121,0.493
122,0.41100000000000003
123,0.409
124,0.415
125,0.434
126,0.397
127,0.433
128,0.49200000000000005
129,0.41
130,0.425
131,0.41700000000000004
132,0.42200000000000004
133,0.375
134,0.40700000000000003
135,0.515
136,0.406
137,0.42
138,0.41
139,0.39799999999999996
140,0.39
141,0.42
142,0.49700000000000005
143,0.409
144,0.41
145,0.39799999999999996
146,0.4
147,0.386
148,0.39899999999999997
149,0.48200000000000004
150,0.392
151,0.41100000000000003
152,0.379
153,0.392
154,0.361
155,0.4
156,0.465
157,0.377
158,0.387
159,0.386
160,0.4
161,0.371
162,0.40299999999999997
163,0.478
164,0.38299999999999995
165,0.384
166,0.375
167,0.373
168,0.364
169,0.385
170,0.489
171,0.392
172,0.384
173,0.379
174,0.382
175,0.354
176,0.379
177,0.462
178,0.375
179,0.365
180,0.368
181,0.363
182,0.348
183,0.374
184,0.452
185,0.474
186,0.354
187,0.361
188,0.366
189,0.355
190,0.38299999999999995
191,0.465
192,0.36700000000000005
193,0.371
