datetime,Casos acumulados,Recuperados,Mortos,Hospitalizados,UTI,Vacinados
2021-01-01,494684,478198,9159,477.0,737.0,0 
2021-01-02,495286,481009,9187,457.0,735.0,0
2021-01-03,496008,482039,9218,474.0,725.0,0
2021-01-04,496823,483275,9246,472.0,701.0,0
2021-01-05,499900,485976,9276,502.0,707.0,0
2021-01-06,502938,488294,9304,497.0,725.0,0
2021-01-07,505918,490725,9333,484.0,745.0,0
2021-01-08,508695,493064,9364,488.0,743.0,0
2021-01-09,511192,494972,9392,509.0,706.0,0
2021-01-10,512841,496542,9424,543.0,711.0,0
2021-01-11,513756,497735,9453,543.0,735.0,0
2021-01-12,515861,499577,9480,542.0,726.0,0
2021-01-13,518955,501688,9512,525.0,734.0,0
2021-01-14,523068,505398,9543,547.0,725.0,0
2021-01-15,528539,508189,9575,504.0,748.0,0
2021-01-16,534371,512176,9606,524.0,742.0,0
2021-01-17,537772,516078,9638,518.0,734.0,0
2021-01-18,540320,519660,9667,510.0,762.0,0
2021-01-19,544324,524194,9697,546.0,747.0,1397.0
2021-01-20,549315,524194,9728,563.0,746.0,19999.0
2021-01-21,553770,529058,9760,543.0,748.0,36097.0
2021-01-22,557900,537721,9794,535.0,742.0,56827.0
2021-01-23,562466,541416,9827,538.0,748.0,78587.0
2021-01-24,565320,543991,9857,557.0,740.0,76472.0
2021-01-25,566743,543991,9886,541.0,719.0,84177.0
2021-01-26,570092,549704,9920,530.0,712.0,101446.0
2021-01-27,574062,553011,9952,525.0,722.0,117734.0
2021-01-28,577707,556354,9987,522.0,719.0,140892.0
2021-01-29,581880,559616,10021,528.0,700.0,154720.0
2021-01-30,585958,563176,10059,516.0,734.0,184262.0
2021-01-31,588106,563176,10097,539.0,733.0,193501.0
2021-02-01,589234,566926,10136,535.0,729.0,207234.0
2021-02-02,592770,570285,10176,570.0,721.0,217680.0
2021-02-03,596140,573186,10216,546.0,750.0,231435.0
2021-02-04,599435,576147,10255,562.0,772.0,254116.0
2021-02-05,602792,579215,10294,555.0,746.0,276038.0
2021-02-06,606062,579215,10334,568.0,759.0,282018.0
2021-02-07,607946,584179,10373,554.0,765.0,286006.0
2021-02-08,609755,584179,10412,574.0,777.0,291676.0
2021-02-09,613339,589353,10452,579.0,774.0,332183.0
2021-02-10,616789,592356,10496,550.0,782.0,344841.0
2021-02-11,620042,592356,10543,578.0,768.0,358775.0
2021-02-12,623678,598416,10610,602.0,785.0,366446.0
2021-02-13,627265,601598,10674,585.0,785.0,372098.0
2021-02-14,629849,603722,10735,576.0,789.0,374051.0
2021-02-15,631645,605744,10798,604.0,805.0,376130.0
2021-02-16,635494,605744,10864,613.0,810.0,378843.0
2021-02-17,639227,612703,10928,636.0,837.0,383670.0
2021-02-18,643244,615962,10995,637.0,846.0,398859.0
2021-02-19,647384,619018,11060,630.0,867.0,405862.0
2021-02-20,651484,623069,11128,635.0,868.0,414224.0
2021-02-21,653335,625441,11191,646.0,890.0,414372.0
2021-02-22,655481,627674,11254,611.0,912.0,415778.0
2021-02-23,660506,631606,11320,621.0,915.0,417396.0
2021-02-24,664904,631606,11388,636.0,930.0,420792.0
2021-02-25,669821,639286,11488,646.0,945.0,422967.0
2021-02-26,674384,642921,11625,655.0,943.0,430630.0
2021-02-27,680904,648593,11729,657.0,933.0,433870.0
2021-02-28,684037,648593,11819,683.0,983.0,433870.0
2021-03-01,686057,654292,11914,695.0,965.0,461402.0
2021-03-02,689454,658229,12028,706.0,958.0,470783.0
2021-03-03,694783,662524,12140,707.0,984.0,480720.0
2021-03-04,700768,667031,12251,711.0,986.0,500471.0
2021-03-05,706375,671789,12353,712.0,1013.0,520432.0
2021-03-06,710900,676536,12448,712.0,1020.0,540532.0
2021-03-07,714005,680532,12530,750.0,1040.0,543545.0
2021-03-08,715418,683429,12632,791.0,1041.0,558858.0
2021-03-09,720068,688301,12735,792.0,1051.0,574507.0
2021-03-10,725567,692826,12846,809.0,1062.0,593330.0
2021-03-11,730542,697190,12961,861.0,1103.0,624690.0
2021-03-12,735666,701553,13062,840.0,1102.0,649563.0
2021-03-13,740148,705995,13159,891.0,1111.0,667336.0
2021-03-14,743064,709351,13239,935.0,1137.0,685477.0
2021-03-15,744227,712692,13341,911.0,1138.0,717157.0
2021-03-16,748835,718002,13459,954.0,1143.0,739357.0
2021-03-17,753584,722302,13589,945.0,1157.0,787857.0
2021-03-18,758168,726504,13742,999.0,1182.0,814734.0
2021-03-19,762616,730577,13885,988.0,1164.0,858552.0
2021-03-20,767134,735181,14000,1017.0,1187.0,922153.0
2021-03-21,768832,735181,14099,1012.0,1199.0,950501.0
2021-03-22,770430,740434,14224,1045.0,1225.0,969897.0
2021-03-23,774491,744732,14357,1039.0,1225.0,1032464.0
2021-03-24,779321,748687,14492,1062.0,1246.0,1139260.0
2021-03-25,783558,752934,14631,1025.0,1263.0,1213020.0
2021-03-26,788296,756849,14786,1047.0,1249.0,1277909.0
2021-03-27,791481,760511,14886,1022.0,1242.0,1329720.0
2021-03-28,794437,763504,14960,1044.0,1278.0,1372529.0
2021-03-29,795505,765663,15050,1020.0,1240.0,1412664.0
2021-03-30,799429,769689,15170,1089.0,1259.0,1515655.0
2021-03-31,803664,769689,15330,1092.0,1280.0,1604370.0
2021-04-01,808461,776831,15472,1102.0,1253.0,1664055.0
2021-04-02,811808,780270,15599,1137.0,1234.0,1682111.0
2021-04-03,813794,780270,15660,1098.0,1260.0,1696104.0
2021-04-04,815649,785652,15710,1051.0,1250.0,1715592.0
2021-04-05,817722,787720,15796,1073.0,1291.0,1735679.0
2021-04-06,821303,791525,15918,1103.0,1266.0,1766534.0
2021-04-07,825015,794967,16107,1119.0,1267.0,1851842.0
2021-04-08,828466,798297,16232,1151.0,1275.0,1872835.0
2021-04-09,832749,801938,16347,1122.0,1262.0,1897356.0
2021-04-10,835962,801938,16445,1153.0,1270.0,1914296.0
2021-04-11,839395,807761,16516,1125.0,1287.0,1936596.0
2021-04-12,840976,809771,16611,1114.0,1316.0,1945097.0
2021-04-13,845080,813137,16713,1100.0,1291.0,1972659.0
2021-04-14,848627,816077,16859,1155.0,1282.0,1990012.0
2021-04-15,852458,819319,17000,1155.0,1292.0,2005623.0
2021-04-16,855871,823110,17134,1147.0,1249.0,2010339.0
2021-04-17,859760,826161,17228,1135.0,1254.0,2016172.0
2021-04-18,862334,828606,17303,1161.0,1295.0,2038291.0
2021-04-19,863764,830817,17371,1141.0,1285.0,2065396.0
2021-04-20,868047,834831,17456,1110.0,1266.0,2112152.0
2021-04-21,871672,834831,17574,1136.0,1277.0,2143424.0
2021-04-22,873832,840641,17687,1149.0,1278.0,2174605.0
2021-04-23,877484,843954,17804,1136.0,1275.0,2206348.0
2021-04-24,880803,843954,17908,1145.0,1318.0,2226177.0
2021-04-25,884044,843954,18003,1107.0,1306.0,2234208.0
2021-04-26,885855,852616,18087,1075.0,1313.0,2245717.0
2021-04-27,889931,856110,18194,1113.0,1315.0,2315752.0
2021-04-28,893276,859495,18298,1095.0,1318.0,2320481.0
2021-04-29,897273,862967,18391,1108.0,1294.0,2353610.0
2021-04-30,900841,866640,18477,1147.0,1260.0,2369586.0
2021-05-01,905113,870299,18561,1161.0,1250.0,2390380.0
2021-05-02,907121,872677,18641,1161.0,1262.0,2404131.0
2021-05-03,909912,872677,18730,1154.0,1283.0,2436599.0
2021-05-04,913020,878399,18812,1140.0,1279.0,2467782.0
2021-05-05,916951,882231,18897,1126.0,1302.0,2511475.0
2021-05-06,920422,885369,18980,1100.0,1298.0,2563601.0
2021-05-07,925001,889109,19071,1102.0,1279.0,2630872.0
2021-05-08,928437,892724,19165,1166.0,1267.0,2681608.0
2021-05-09,930593,895260,19239,1153.0,1270.0,2706140.0
2021-05-10,932031,897620,19320,1147.0,1283.0,2728059.0
2021-05-11,936275,901434,19411,1133.0,1294.0,2781478.0
2021-05-12,940584,904827,19503,1142.0,1273.0,2822289.0
2021-05-13,944724,904827,19624,1142.0,1292.0,2874358.0
2021-05-14,948753,911392,19739,1166.0,1295.0,2926681.0
2021-05-15,952796,915258,19831,1168.0,1294.0,2950567.0
2021-05-16,955350,915258,19894,1245.0,1328.0,2979541.0
2021-05-17,957267,921056,19972,1220.0,1351.0,2983765.0
2021-05-18,961157,924699,20054,1234.0,1369.0,3023842.0
2021-05-19,966268,928500,20131,1244.0,1378.0,3052551.0
2021-05-20,971450,932687,20205,1276.0,1353.0,3082299.0
2021-05-21,976251,936855,20280,1266.0,1346.0,3120336.0
2021-05-22,980712,941121,20363,1336.0,1373.0,3134035.0
2021-05-23,983587,941121,20428,1331.0,1364.0,3139893.0
2021-05-24,984967,941121,20499,1257.0,1355.0,3183126.0
2021-05-25,989909,941121,20606,1248.0,1347.0,3215470.0
2021-05-26,995364,941121,20726,1303.0,1362.0,3233456.0
2021-05-27,999463,960258,20856,1336.0,1348.0,3254002.0
2021-05-28,1003523,965804,20971,1312.0,1365.0,3310961.0
2021-05-29,1010166,965804,21074,1327.0,1379.0,3348285.0
2021-05-30,1010166,965804,21160,1299.0,1387.0,3363122.0
2021-05-31,1012200,975260,21241,1279.0,1384.0,3387794.0
2021-06-01,1016480,979917,21329,1300.0,1365.0,3439637.0
2021-06-02,1021367,979917,21422,1334.0,1377.0,3494249.0
2021-06-03,1025987,988790,21512,1364.0,1394.0,3528578.0
2021-06-04,1028518,992591,21609,1312.0,1384.0,3577654.0
2021-06-05,1032454,996824,21707,1318.0,1372.0,3617049.0
2021-06-06,1035524,1000142,21749,1264.0,1380.0,3637037.0
2021-06-07,1037924,1003088,21829,1254.0,1373.0,3669170.0
2021-06-08,1041351,1007142,21939,1254.0,1368.0,3740975.0
2021-06-09,1048084,1012358,22064,1256.0,1364.0,3813754.0
2021-06-10,1053031,1012358,22194,1237.0,1365.0,3908323.0
2021-06-11,1057177,1021005,22321,1201.0,1373.0,3980583.0
2021-06-12,1062742,1021005,22425,1219.0,1342.0,4035053.0
2021-06-13,1064747,1028604,22513,1247.0,1344.0,4053646.0
2021-06-14,1066552,1030977,22601,1215.0,1348.0,4109720.0
2021-06-15,1071899,1035655,22703,1236.0,1336.0,4176091.0
2021-06-16,1077784,1040809,22822,1244.0,1358.0,4243404.0
2021-06-17,1083037,1045096,22906,1174.0,1350.0,4292207.0
2021-06-18,1088035,1049119,23008,1182.0,1325.0,4337396.0
